QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.999999999174577,0.999999999174577,0.99990046
17,0.9634407171863364,0.9502632326005932,0.98000115
19,0.9415056298901661,0.9233086941363332,0.9765451
21,0.9234226112054362,0.899816057910687,0.9731759
23,0.9015236110144708,0.8723584606404525,0.9703646
25,0.8848141968101758,0.8512532925077643,0.9675423
27,0.8472347466776955,0.8093673131249574,0.96418923
29,0.8237522968495705,0.7810264611895997,0.96103305
31,0.7973735639734065,0.7494853405855357,0.95739067
33,0.764562045321198,0.7092985364689002,0.95429826
35,0.7149853413588544,0.6560526649058889,0.9503331
37,0.6698858576739471,0.6051239492121836,0.94448215
39,0.6283444367840854,0.5563365224885553,0.93879133
41,0.5799375225845952,0.49921150519479784,0.9299821
43,0.5278030218745576,0.4381065513706435,0.922187
45,0.46533635895781567,0.37680191233040056,0.91540104
47,0.4050280798987395,0.31833693855807177,0.9077096
49,0.34968552389950847,0.2592523605203444,0.8935415
51,0.29185886936595873,0.21590075379626902,0.8904458
