QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.8460936877535317,0.6903486965795788,0.9110095
17,0.8464991375926417,0.6882220304372428,0.91009223
19,0.8418727172302557,0.685210265624765,0.9109162
21,0.8356847549664107,0.6809151227876549,0.9110367
23,0.8520972382852627,0.6944432201915126,0.9111692
25,0.844139680537266,0.6899771055643187,0.91158116
27,0.8478509905909304,0.6909346970817859,0.91154385
29,0.8421609306622246,0.6909483570958881,0.91312695
31,0.8513482999457826,0.6960165051631866,0.9122461
33,0.8439404287941039,0.6939384939220511,0.91278267
35,0.8468012399179763,0.6941591228240701,0.91199857
37,0.839086339653893,0.6825359759620271,0.91083205
39,0.8316348505666162,0.6704539530629139,0.9089186
41,0.8107304461670863,0.6461548115004048,0.9058858
43,0.7798224332120608,0.6075181901594935,0.90104514
45,0.736834828340418,0.560210336152742,0.8964598
47,0.6873846595412082,0.507085831082047,0.89069754
49,0.6007857331755486,0.426795953556151,0.8799975
51,0.5198124897954816,0.3582329429590488,0.8724376
