QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.8116411846184383,0.6769986143242783,0.9176066
17,0.8043051571155412,0.6699494009916169,0.9172464
19,0.8054592775934011,0.6711457726520175,0.9171663
21,0.8065435551928777,0.6720841434255787,0.9166067
23,0.8022854046031278,0.67008594569969,0.9171364
25,0.7990683319522781,0.6657151330249238,0.9174719
27,0.8002693650176576,0.6663986636393054,0.91707116
29,0.7932067015324392,0.660705664925792,0.9170529
31,0.7905841302569849,0.6576005701351335,0.9165782
33,0.7821751368305243,0.6500593825868035,0.91626275
35,0.7793557327909633,0.6463355580804198,0.9162006
37,0.7613796591952076,0.6281195073550019,0.91469884
39,0.7545419497823769,0.6193306730538307,0.913329
41,0.7338721980023316,0.5962982577920357,0.91191167
43,0.71961847011411,0.5747327818402417,0.9069792
45,0.690739043556629,0.5359955987574563,0.8998229
47,0.6501272448470643,0.48536872441926926,0.89174324
49,0.6011666477324947,0.43325421057230545,0.88287276
51,0.5418608292910817,0.3675295312772732,0.8712123
