QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.9999999992997199,0.9999999992997198,0.9998825
17,0.9697021665100203,0.947169953076289,0.9765909
19,0.9440659809067291,0.9155787725727225,0.97268814
21,0.9292602729121054,0.8947457535913644,0.96937835
23,0.911458699057166,0.8700531515150131,0.965756
25,0.8977026501242307,0.8489031098579233,0.96249986
27,0.8679460511412698,0.8167557508917858,0.9590285
29,0.847934543068645,0.7897718748642233,0.95581335
31,0.826871254343247,0.7592740211773206,0.95143723
33,0.7952517412210435,0.7218989591617926,0.94761455
35,0.7632309603360343,0.6832909581010155,0.94330096
37,0.7264859622222184,0.6388266218422842,0.9377073
39,0.6891789747568777,0.5930760253308375,0.93161696
41,0.6454223389702464,0.540726210809143,0.9247174
43,0.6018977028743259,0.4902215202454969,0.9163082
45,0.5537293453350759,0.4343994473413598,0.90701455
47,0.5107273165183714,0.3812603448365938,0.89646316
49,0.43879387938620207,0.31328433018789803,0.8855241
51,0.37580467933244466,0.2553069886665426,0.87425214
