QP,mAP@0.5,mAP@0.5:0.95,meanIoU
15,0.9999999988499134,0.9999999988499134,0.9999087
17,0.9691029731079639,0.9611116739700183,0.9829722
19,0.9636196895290765,0.951074912226771,0.97935295
21,0.9585726691048375,0.9425743283026424,0.97748655
23,0.9459393114195717,0.925347302557643,0.97460943
25,0.9394270122999189,0.9116265494017627,0.9709781
27,0.9284130626782442,0.8956305824881078,0.96757394
29,0.9095452095581961,0.8705386180383066,0.9647841
31,0.8984646113593705,0.8559768304804922,0.96135515
33,0.8793973584450996,0.827141915105512,0.9580783
35,0.8664773612449482,0.8066028446062925,0.95368725
37,0.8366438535173176,0.7677876703199842,0.9489454
39,0.816820072347071,0.7312028792452636,0.94179463
41,0.7892285466722888,0.6886311730196719,0.9356625
43,0.758485230107343,0.6452318638338435,0.9274247
45,0.7257941255768501,0.5909450774350795,0.9161512
47,0.6828916060168593,0.527610124452162,0.9033906
49,0.6180861553678659,0.4618543987227479,0.8933528
51,0.5601358418988563,0.38921263797288275,0.8788629
